Id,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,NumberOfTimeTotalDelay,isOld,SeriousDlqin2yrs.1,confidence,0 probability,1 probability,my_predict,confusion,error_abs
133069,0,1.081836327,35,3,0.291469194,3375,3,12,1,0,2,15,False,1,0.68078,0.28657,0.71343,1,FP,0.44342999999999994
127279,0,1.445042275,38,0,0.136132316,4715,5,3,0,7,2,10,False,1,0.67071,0.29671,0.70329,1,FP,0.4332899999999999
116004,0,1.680709534,51,1,0.17872969,3384,7,2,0,3,1,6,False,1,0.67071,0.29671,0.70329,1,FP,0.4332899999999999
127019,0,1.214392804,62,2,0.170168465,5282,9,2,0,3,0,7,False,1,0.67071,0.29671,0.70329,1,FP,0.4332899999999999
100314,0,0.992867332,40,4,0.11436478900000001,11200,5,2,1,0,1,6,False,1,0.66937,0.30004000000000003,0.69996,1,FP,0.42995999999999995
148013,0,0.8451007540000001,36,3,0.944527736,2000,7,4,1,1,0,8,False,1,0.66937,0.30004000000000003,0.69996,1,FP,0.42995999999999995
134089,0,0.9999998999999999,45,2,0.39618906200000004,4040,3,2,1,3,2,7,False,1,0.66937,0.30004000000000003,0.69996,1,FP,0.42995999999999995
116889,0,0.999939017,60,1,0.533593281,3333,8,6,1,1,1,8,False,1,0.66937,0.30004000000000003,0.69996,1,FP,0.42995999999999995
84956,0,1.165834166,47,2,440.0,0,3,3,1,2,0,7,False,1,0.66508,0.3016,0.6984,1,FP,0.42839999999999995
89072,0,0.9999998999999999,68,6,1.308752584,1450,8,3,2,3,0,12,False,1,0.66406,0.30447,0.69553,1,FP,0.4255299999999999
91088,0,0.9999998999999999,45,3,0.089255578,10665,2,4,1,0,1,7,False,1,0.65803,0.30986,0.69014,1,FP,0.4201399999999999
139198,0,0.9999998999999999,33,98,0.008055236,3475,0,98,0,98,2,294,False,1,0.6593,0.31018,0.68982,1,FP,0.4198199999999999
124181,0,0.9999998999999999,44,98,0.0,0,0,98,0,98,0,294,False,1,0.6593,0.31018,0.68982,1,FP,0.4198199999999999
131825,0,0.9999998999999999,29,98,0.0,0,0,98,0,98,0,294,False,1,0.6593,0.31018,0.68982,1,FP,0.4198199999999999
102280,0,0.9999998999999999,48,0,0.376778162,2600,13,9,0,0,0,9,False,1,0.6593,0.31018,0.68982,1,FP,0.4198199999999999
95613,0,0.7319665909999999,48,0,0.412220917,4254,7,6,0,0,0,6,False,1,0.6593,0.31018,0.68982,1,FP,0.4198199999999999
124072,0,0.9999998999999999,36,1,0.122297898,3376,5,3,0,2,0,6,False,1,0.6593,0.31018,0.68982,1,FP,0.4198199999999999
133030,0,0.9999998999999999,39,98,0.0,0,0,98,0,98,1,294,False,1,0.6593,0.31018,0.68982,1,FP,0.4198199999999999
135571,0,0.891390253,44,1,0.508379888,3758,8,2,0,5,1,8,False,1,0.6593,0.31018,0.68982,1,FP,0.4198199999999999
106355,0,0.9999998999999999,36,0,562.0,0,1,6,0,1,0,7,False,1,0.6593,0.31018,0.68982,1,FP,0.4198199999999999
72349,0,1.4830339319999999,32,2,0.025344352999999997,1814,1,3,0,2,0,7,False,1,0.655,0.31173,0.6882699999999999,1,FP,0.41826999999999986
60228,0,1.100894955,39,0,0.394822006,2780,8,2,0,4,0,6,False,1,0.655,0.31173,0.6882699999999999,1,FP,0.41826999999999986
77607,0,1.0755091540000001,31,2,0.37657792799999995,8000,8,2,0,3,1,7,False,1,0.655,0.31173,0.6882699999999999,1,FP,0.41826999999999986
102647,0,1.4994742380000001,30,4,0.024855167,5350,3,1,0,1,1,6,False,1,0.64179,0.31276,0.68724,1,FP,0.4172399999999999
129162,0,1.09017287,66,4,0.552182163,1053,13,1,0,2,0,7,False,1,0.64179,0.31276,0.68724,1,FP,0.4172399999999999
33494,0,0.9999998999999999,71,3,0.47188106,4640,4,2,1,2,0,7,True,1,0.65367,0.31507,0.68493,1,FP,0.41492999999999997
69191,0,0.898203593,59,2,0.19897586,6834,6,3,1,2,0,7,False,1,0.65367,0.31507,0.68493,1,FP,0.41492999999999997
67572,0,0.99743766,61,2,0.9010838040000001,6550,11,2,2,4,0,8,False,1,0.65367,0.31507,0.68493,1,FP,0.41492999999999997
144179,0,0.9999998999999999,46,2,0.7926727729999999,1200,3,2,1,1,3,5,False,1,0.64298,0.31722,0.68278,1,FP,0.41278
146045,0,0.687748963,45,2,0.7872850859999999,2500,24,6,1,4,2,12,False,1,0.6490199999999999,0.31771,0.68229,1,FP,0.4122899999999999
127160,0,0.469321626,55,9,0.8242172759999999,5301,16,4,2,1,3,14,False,1,0.6490199999999999,0.31771,0.68229,1,FP,0.4122899999999999
149396,0,0.844279223,76,3,0.125373134,2009,14,2,0,0,0,5,True,1,0.63562,0.31836,0.6816399999999999,1,FP,0.41163999999999984
89721,0,0.9999998999999999,42,1,0.234670023,5560,4,14,0,1,0,16,False,1,0.6479600000000001,0.32,0.68,1,FP,0.41
60706,0,0.9999998999999999,29,98,0.0,0,0,98,0,98,0,294,False,1,0.6436,0.3252,0.6748,1,FP,0.4047999999999999
86114,0,0.827968771,47,4,0.25779792100000004,3750,11,2,0,2,0,8,False,1,0.6436,0.3252,0.6748,1,FP,0.4047999999999999
34388,0,0.9999998999999999,29,98,0.0,1600,0,98,0,98,0,294,False,1,0.6436,0.3252,0.6748,1,FP,0.4047999999999999
72720,0,0.9999998999999999,41,0,0.194800301,7961,2,2,0,4,0,6,False,1,0.6436,0.3252,0.6748,1,FP,0.4047999999999999
56548,0,0.9999998999999999,52,98,0.0,3700,0,98,0,98,0,294,False,1,0.6436,0.3252,0.6748,1,FP,0.4047999999999999
28693,0,0.9999998999999999,36,3,0.18838492899999998,4166,11,6,0,2,1,11,False,1,0.6436,0.3252,0.6748,1,FP,0.4047999999999999
41870,0,0.9999998999999999,34,98,0.0,0,0,98,0,98,0,294,False,1,0.6436,0.3252,0.6748,1,FP,0.4047999999999999
13202,0,0.9999998999999999,40,98,0.0,7218,0,98,0,98,2,294,False,1,0.6436,0.3252,0.6748,1,FP,0.4047999999999999
27477,0,0.9999998999999999,72,98,0.004887803,4500,0,98,0,98,0,294,True,1,0.6436,0.3252,0.6748,1,FP,0.4047999999999999
145557,0,0.9999998999999999,48,1,0.09210313,6166,1,3,0,1,2,5,False,1,0.6329100000000001,0.32735,0.67265,1,FP,0.4026499999999999
143637,0,0.8174546490000001,37,1,0.048002076,3853,1,3,0,1,1,5,False,1,0.63522,0.3288,0.6712,1,FP,0.40119999999999995
74599,0,0.9999998999999999,39,1,0.24209293199999998,2560,6,8,0,1,2,10,False,1,0.63756,0.3306,0.6694,1,FP,0.3993999999999999
46559,0,0.9999998999999999,34,0,0.017336776,2710,0,10,0,0,3,10,False,1,0.63756,0.3306,0.6694,1,FP,0.3993999999999999
41367,0,0.56071964,60,2,0.33921136399999996,4082,3,2,1,2,0,6,False,1,0.63331,0.33274000000000004,0.6672600000000001,1,FP,0.39726
1299,0,0.7962785840000001,44,0,2518.0,0,6,5,1,2,4,7,False,1,0.62983,0.33388,0.6661199999999999,1,FP,0.39611999999999986
94241,0,0.9999998999999999,42,2,0.047476262000000005,2000,4,3,0,0,1,5,False,1,0.63027,0.33673000000000003,0.66327,1,FP,0.39326999999999995
123285,0,1.091204682,77,5,1260.0,0,10,0,1,1,0,6,True,1,0.56621,0.33724,0.66277,1,FP,0.3927699999999999
133031,0,1.124253934,86,5,0.56043956,1000,6,0,0,1,0,6,True,1,0.56621,0.33724,0.66277,1,FP,0.3927699999999999
39063,0,0.556983719,48,5,0.268261255,12416,6,3,1,0,2,8,False,1,0.6272800000000001,0.33814,0.66186,1,FP,0.39185999999999993
128512,0,0.7389460929999999,38,1,0.098696978,3606,6,3,0,1,1,5,False,1,0.62598,0.33845,0.66155,1,FP,0.3915499999999999
136771,0,0.9999998999999999,35,4,1384.0,0,9,1,2,2,2,7,False,1,0.6202,0.34078,0.65922,1,FP,0.38921999999999995
149337,0,0.90542471,41,2,0.453899028,4218,11,2,0,1,1,5,False,1,0.6187199999999999,0.34197,0.65803,1,FP,0.38802999999999993
44874,0,0.6282383420000001,37,2,0.116908851,9083,4,2,0,2,1,6,False,1,0.62324,0.34287,0.65713,1,FP,0.3871299999999999
5074,0,0.9999998999999999,33,98,0.0,1500,0,98,0,98,0,294,False,1,0.6197600000000001,0.34401,0.65599,1,FP,0.3859899999999999
3885,0,0.9999998999999999,38,98,12.0,0,0,98,0,98,0,294,False,1,0.6197600000000001,0.34401,0.65599,1,FP,0.3859899999999999
101728,0,0.8189609,32,2,0.214261968,6015,6,3,0,0,1,5,False,1,0.61765,0.34458,0.65542,1,FP,0.38541999999999993
93538,0,0.7125218090000001,51,3,2851.0,0,9,2,1,4,0,9,False,1,0.6145,0.3447,0.6553,1,FP,0.3852999999999999
127386,0,1.5494505490000001,28,2,0.88527017,1350,2,7,0,1,3,10,False,1,0.61244,0.34563,0.65437,1,FP,0.38436999999999993
66928,0,1.155378486,31,2,0.013900381000000002,6042,1,6,0,0,1,8,False,1,0.6138600000000001,0.34682,0.65318,1,FP,0.3831799999999999
75595,0,0.9609642509999999,39,1,0.40951193399999997,5613,5,4,1,0,3,5,False,1,0.6186,0.34702,0.65298,1,FP,0.38297999999999993
95381,0,0.931610831,40,1,0.262142533,4405,12,2,1,2,2,5,False,1,0.61123,0.34761,0.6523899999999999,1,FP,0.38238999999999984
67896,0,0.6711769209999999,61,0,0.35138420000000004,7404,16,7,0,1,0,8,False,1,0.61721,0.34827,0.65173,1,FP,0.38172999999999996
42688,0,0.645351581,46,1,0.096161783,4845,10,4,0,1,2,6,False,1,0.61721,0.34827,0.65173,1,FP,0.38172999999999996
41650,0,0.555995251,35,6,0.23430627699999998,2500,5,2,0,0,1,8,False,1,0.61721,0.34827,0.65173,1,FP,0.38172999999999996
28932,0,1.119300437,62,5,0.646762831,2980,9,1,0,0,0,6,False,1,0.59854,0.35171,0.6482899999999999,1,FP,0.37828999999999985
120521,0,0.603445624,48,2,0.127428383,12147,6,1,0,3,0,6,False,1,0.6079600000000001,0.3523,0.6477,1,FP,0.3777
23960,0,0.866966109,44,5,0.437642519,5700,20,1,1,2,0,8,False,1,0.6045,0.35581,0.6441899999999999,1,FP,0.37418999999999986
124138,0,0.9999998999999999,25,98,0.0,0,0,98,0,98,0,294,False,1,0.6010300000000001,0.3591,0.6409,1,FP,0.37089999999999995
95832,0,0.9999998999999999,27,98,0.0,0,0,98,0,98,0,294,False,1,0.6010300000000001,0.3591,0.6409,1,FP,0.37089999999999995
54390,0,0.9999998999999999,29,1,0.158239509,4884,6,5,0,1,1,7,False,1,0.60245,0.36029,0.63971,1,FP,0.3697099999999999
59203,0,0.9999998999999999,63,4,0.5449654110000001,3902,6,1,2,1,0,6,False,1,0.59846,0.3612,0.6388,1,FP,0.36879999999999996
23249,0,1.022795441,39,5,1123.0,0,5,1,0,1,2,7,False,1,0.59846,0.3612,0.6388,1,FP,0.36879999999999996
353,0,0.507972665,69,2,0.193935355,3000,10,2,0,2,0,6,False,1,0.5994,0.36168,0.63832,1,FP,0.3683199999999999
18665,0,0.45663584100000004,68,1,962.0,0,3,4,1,1,0,6,False,1,0.59328,0.36211,0.63789,1,FP,0.3678899999999999
13107,0,1.140619793,66,1,849.0,0,9,2,0,2,0,5,False,1,0.58526,0.36449,0.63551,1,FP,0.36550999999999995
131382,0,4.794003331,44,2,361.0,0,5,1,0,2,0,5,False,1,0.58121,0.36585,0.6341600000000001,1,FP,0.36416
59226,0,0.541602433,56,2,0.28600708,5366,12,1,1,4,0,7,False,1,0.59225,0.3673300000000001,0.63267,1,FP,0.3626699999999999
36456,0,0.9999998999999999,32,0,812.0,1,11,2,0,3,0,5,False,1,0.58915,0.36791,0.6320899999999999,1,FP,0.36208999999999986
140973,0,0.858596679,47,1,640.0,0,6,1,0,1,0,3,False,1,0.5404800000000001,0.3728,0.6272,1,FP,0.3571999999999999
125587,0,0.9999998999999999,65,2,0.208953241,7527,3,2,1,1,1,5,False,1,0.5857600000000001,0.3731,0.6269,1,FP,0.35689999999999994
83520,0,0.9999998999999999,25,98,0.0,1,0,98,0,98,0,294,False,1,0.58532,0.37413,0.6258699999999999,1,FP,0.35586999999999985
77221,0,0.9999998999999999,25,98,0.0,1958,0,98,0,98,0,294,False,1,0.58532,0.37413,0.6258699999999999,1,FP,0.35586999999999985
87920,0,0.9999998999999999,28,98,0.0,0,0,98,0,98,0,294,False,1,0.58532,0.37413,0.6258699999999999,1,FP,0.35586999999999985
122290,0,0.733510993,26,3,925.0,0,10,1,0,1,0,5,False,1,0.57723,0.37561,0.62439,1,FP,0.3543899999999999
87518,0,1.673860911,43,3,0.369815267,5737,4,1,1,1,1,5,False,1,0.57204,0.37816,0.62184,1,FP,0.3518399999999999
30449,0,0.9999998999999999,48,1,0.20368634800000002,3200,2,3,0,1,3,5,False,1,0.58201,0.38188,0.61812,1,FP,0.34811999999999993
31828,0,0.961259685,45,2,0.469955616,5857,7,2,0,1,3,5,False,1,0.58201,0.38188,0.61812,1,FP,0.34811999999999993
148910,0,0.99550075,34,1,0.402939905,4625,3,1,1,1,0,3,False,1,0.55066,0.3819,0.6181,1,FP,0.3480999999999999
57831,0,0.9999998999999999,50,2,0.37616996,6730,6,2,1,1,1,5,False,1,0.5813699999999999,0.38244,0.61756,1,FP,0.3475599999999999
140961,0,0.9999998999999999,25,1,0.154503106,2575,3,1,0,1,2,3,False,1,0.5624899999999999,0.38285,0.61715,1,FP,0.3471499999999999
11293,0,0.9995014959999999,47,5,0.56111444,3337,12,1,1,1,1,7,False,1,0.57247,0.38377,0.61623,1,FP,0.34623
91851,0,1.133201915,54,3,0.058945190999999994,2900,3,1,0,1,0,5,False,1,0.56418,0.38455,0.61545,1,FP,0.34545
149148,0,0.9999998999999999,52,1,0.620951619,2500,2,2,2,0,0,3,False,1,0.51146,0.38477,0.61523,1,FP,0.34523
46564,0,1.266121708,58,1,0.038653782000000005,3000,4,3,0,1,0,5,False,1,0.57516,0.38541,0.61459,1,FP,0.3445899999999999
62382,0,0.9999998999999999,28,2,807.0,0,3,2,1,1,0,5,False,1,0.56416,0.38719,0.6128100000000001,1,FP,0.34281
149963,0,1.005732951,48,0,0.248896435,2944,4,3,0,0,1,3,False,1,0.51276,0.39028,0.6097199999999999,1,FP,0.33971999999999986
79268,0,1.3887043190000001,35,1,0.11486336400000001,4500,3,2,0,1,1,4,False,1,0.56125,0.39169,0.60831,1,FP,0.33830999999999994
